# Constructed from biom file
#OTU ID	ERR688806	ERR1368497	ERR1368490	ERR1368496	ERR1368491	ERR1368485	ERR1368516	ERR1368510	ERR1368499	ERR1368498	ERR1368508	ERR1368482	ERR1368479	ERR1368489	ERR1368503	ERR1368494	ERR1368484	ERR1368488	ERR1368502	ERR1368481	ERR1368480	ERR1368518	ERR1368495	ERR576948	ERR1368487	ERR1368492	ERR1368512	ERR1368483	ERR1368507	ERR1368486	ERR1368493	ERR1368500	ERR1368514	ERR1368513	ERR1368504	ERR1368517	ERR1368501	ERR1368511	ERR1368506	SZ.SC3	ERR1368515	ERR1368509	ERR297087	ERR297096	ERR297089	ERR297077	ERR297093	ERR1368505	SZ.SC4	ERR297067	SZ.SC6	SZ.SC1	SZ.SC7	SRR824289	SRR824298	ERR297081	SZ.SC2	SZ.SC5	ERR297106	ERR297107	ERR297079	ERR297080	ERR297101	ERR297073	ERR989657	ERR989668	ERR989660	ERR989659	ERR989664	ERR989663	ERR989661	ERR989662	ERR989658	ERR989665	ERR989667	ERR989666	ERR297086	SRR824296	SRR824286	SRR824294
669005	0.25	0.75	0.0	1.5	0.25	0.75	1.5	0.5	0.25	0.5	1.25	0.0	0.0	1.0	2.25	0.5	0.25	0.5	0.5	0.0	0.0	0.75	0.0	4.0	1.25	1.0	0.0	0.25	0.5	0.5	0.25	4.0	0.75	0.0	1.0	0.0	0.5	1.0	1.0	1.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
336485	0.0	836.75	265.5	685.0	893.75	166.0	679.25	403.5	814.0	1332.5	340.75	121.5	507.25	398.5	633.5	1418.0	372.5	373.75	204.75	323.5	205.0	742.25	947.0	42.25	206.0	621.0	642.25	159.75	1352.25	324.0	1499.25	359.75	793.25	169.5	331.0	502.0	347.75	349.5	396.0	1.0	484.5	176.25	0.0	0.0	0.0	0.0	0.0	214.5	14.25	0.0	0.5	0.0	15.0	0.0	0.0	0.0	73.5	5.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.25	0.25	0.0	0.25	0.0	0.25	0.5	0.0	0.75	0.0	2.0	0.0	0.0	0.0	0.0
2201	0.0	50.4	12.8	59.6	90.8	14.8	12.6	0.0	5.2	51.8	10.0	38.6	10.2	16.6	2.0	41.4	20.2	12.8	0.0	7.2	16.4	1.0	26.4	0.0	32.2	24.4	5.6	22.8	1.6	6.6	15.2	0.0	0.6	2.4	1.2	1.8	43.0	2.4	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.2	0.6	0.4	1.2	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0
165132	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.66666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	1.33333333333	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
103100	0.0	130.75	45.5	122.75	121.0	29.25	122.5	1009.75	588.0	112.0	475.75	39.5	121.5	83.0	183.75	211.5	33.5	41.25	81.0	19.5	54.5	234.75	141.25	0.0	29.5	79.0	327.75	38.5	432.5	64.5	183.5	108.5	142.75	137.25	300.5	558.5	83.75	177.0	283.0	0.0	151.5	333.25	0.0	0.0	0.0	0.0	0.0	66.25	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	19.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	9.75	6.5	1.25	0.25	0.0	0.25	12.0	10.75	3.75	10.25	7.0	0.0	0.0	0.0	0.0
100850	0.0	214.25	122.75	331.25	365.25	179.75	606.5	646.75	56.5	242.75	894.5	45.0	289.75	366.5	949.25	319.75	139.5	137.0	264.0	141.75	89.5	283.75	371.25	0.25	112.25	215.5	437.0	93.75	1423.75	229.5	766.5	130.5	162.5	1872.75	212.25	175.25	63.75	2305.75	3210.25	0.0	241.25	521.25	0.0	0.0	0.0	0.0	0.0	273.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.25	2.25	8.5	2.0	3.25	0.5	1.0	0.0	5.0	0.5	1.0	2.5	0.0	0.0	0.0	0.0
100123	0.0	1.5	1.0	2.0	0.0	3.0	1.0	0.0	3.0	2.0	0.0	4.0	4.0	1.0	0.0	0.0	0.5	0.5	4.5	1.5	2.5	2.0	4.0	0.5	0.0	1.5	0.0	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	0.0	6.0	0.0	0.5	1.5	0.0	0.0	2.5	7.5	0.0	0.0	0.0	0.0	0.0
100068	0.0	0.0	0.0	0.0	0.75	0.0	24.0	29.25	620.25	0.25	60.0	0.0	0.75	0.5	13.25	0.5	0.0	0.25	90.75	1.75	3.25	0.25	0.25	0.0	0.25	0.0	51.5	0.25	57.0	0.0	0.0	1030.25	100.75	29.75	30.0	100.75	81.5	12.75	74.5	0.0	1.75	432.75	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
1000547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.25	0.75	0.5
