# Constructed from biom file
#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
k__Archaea;p__Euryarchaeota;c__Methanobacteria	5.0	95.0	18.0	94.0	575.0	3.0	2.0	546.0	337.0	1497.0	188.0	393.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__;c__	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	16.0	10.0	6.0	24.0	11.0	30.0	8.0	57.0	12.0	48.0	3.0	175.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	1454.0	199.0	728.0	202.0	7902.0	195.0	30.0	341.0	68.0	82.0	263.0	246.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	3989.0	7504.0	2514.0	17639.0	17794.0	215.0	8561.0	7591.0	7563.0	5826.0	12072.0	13029.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	3.0	2015.0	25.0	1.0	4473.0	0.0	0.0	0.0	1.0	0.0	3.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	50.0	1.0	0.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.0	0.0	0.0	0.0	0.0	0.0	9.0	50.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	1.0	0.0	141.0	40.0	23.0	10.0	27.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	267.0	83.0	124.0	109.0	1616.0	1.0	2.0	7.0	5.0	7.0	8.0	4.0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	32.0	4.0	6.0	48.0	4.0	1.0	0.0	0.0	0.0	67.0	26.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	5808.0	9323.0	1713.0	13676.0	11947.0	4409.0	3.0	58.0	14.0	17.0	7.0	56.0
k__Bacteria;p__Firmicutes;c__Clostridia	18966.0	32808.0	4895.0	21749.0	14743.0	1699.0	45020.0	62705.0	61039.0	64242.0	52445.0	50290.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	75.0	111.0	49.0	84.0	236.0	20.0	143.0	547.0	327.0	769.0	75.0	146.0
k__Bacteria;p__Firmicutes;c__OPB54	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	1.0	2.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
